,season,race_id,race,date,place,last_place,horse_id,horse_no,horse,jockey,trainer,actual_weight,last_actual_weight,declared_horse_weight,draw,last_lbw,last_running_position,win_odds,class,going,track,prize,location,distance_m,rest_day,finish_time_s,pct_1st_last_j,pct_2nd_last_j,pct_3rd_last_j,pct_4th_last_j,pct_1st_last_t,pct_2nd_last_t,pct_3rd_last_t,pct_4th_last_t
69636,2020/2021,85,1,2020-10-07,1,2.0,A291,4,GOUTEN OF GARO,C L Chau,D E Ferraris,121.0,128.0,1135.0,6,2.0,1.3333333333333333,6.0,Class 5,GOOD,"TURF - ""A"" Course",750000,Happy Valley,1000,28.0,57.37,7.45,11.7,12.77,6.38,4.92,6.56,8.43,6.56
69637,2020/2021,85,1,2020-10-07,2,1.0,C384,1,APOLLOS BOW,C Schofield,Y S Tsui,133.0,126.0,1195.0,2,0.0,1.3333333333333333,7.3,Class 5,GOOD,"TURF - ""A"" Course",750000,Happy Valley,1000,21.0,57.71,8.78,8.16,8.16,8.37,5.53,7.87,7.37,6.2
69638,2020/2021,85,1,2020-10-07,3,3.0,T361,10,FLYING MONKEY,A Badel,T P Yung,120.0,117.0,1085.0,3,3.0,4.333333333333333,4.7,Class 5,GOOD,"TURF - ""A"" Course",750000,Happy Valley,1000,28.0,57.8,10.28,9.09,8.3,9.09,5.57,6.26,6.26,5.57
69639,2020/2021,85,1,2020-10-07,4,6.0,B143,8,LA BOMBA,Z Purton,K L Man,121.0,120.0,1039.0,1,5.75,9.333333333333334,4.6,Class 5,GOOD,"TURF - ""A"" Course",750000,Happy Valley,1000,28.0,57.84,20.82,14.31,14.16,7.93,7.56,10.73,8.05,8.05
69640,2020/2021,85,1,2020-10-07,5,6.0,D148,5,CHUNGHWA JINGSHEN,M L Yeung,L Ho,129.0,127.0,1119.0,4,2.5,5.333333333333333,8.6,Class 5,GOOD,"TURF - ""A"" Course",750000,Happy Valley,1000,21.0,57.92,1.92,3.6,3.84,5.76,3.51,6.56,3.98,8.43
69641,2020/2021,85,1,2020-10-07,6,4.0,C023,7,AURORA STEED,N Callan,C Fownes,125.0,123.0,1123.0,9,3.5,6.666666666666667,8.3,Class 5,GOOD,"TURF - ""A"" Course",750000,Happy Valley,1000,28.0,58.06,5.42,8.33,8.33,12.08,9.3,10.25,7.78,9.68
69642,2020/2021,85,1,2020-10-07,7,6.0,C017,12,JIMSON THE DRAGON,C Wong,C H Yip,110.0,109.0,1040.0,11,3.75,2.6666666666666665,18.0,Class 5,GOOD,"TURF - ""A"" Course",750000,Happy Valley,1000,6.0,58.11,4.76,3.7,4.23,7.41,4.71,3.44,7.61,6.16
69643,2020/2021,85,1,2020-10-07,8,11.0,B357,2,YEE CHEONG LUCKY,A Hamelin,A T Millard,133.0,130.0,1069.0,8,7.0,9.0,40.0,Class 5,GOOD,"TURF - ""A"" Course",750000,Happy Valley,1000,28.0,58.21,7.49,7.49,7.05,10.57,8.7,8.12,9.57,6.67
69644,2020/2021,85,1,2020-10-07,9,9.0,C525,3,WONDER BRAHMA,M F Poon,D J Hall,130.0,133.0,1079.0,10,6.0,10.666666666666666,50.0,Class 5,GOOD,"TURF - ""A"" Course",750000,Happy Valley,1000,10.0,58.35,5.24,4.16,6.51,8.5,7.91,5.36,8.93,10.2
69645,2020/2021,85,1,2020-10-07,10,7.0,C236,11,FAIRY FLOSS,K C Leung,P O'Sullivan,119.0,121.0,1084.0,12,2.0,3.0,27.0,Class 5,GOOD,"TURF - ""A"" Course",750000,Happy Valley,1000,84.0,58.37,5.19,3.76,6.44,8.94,8.27,7.2,8.0,7.2
69646,2020/2021,85,1,2020-10-07,11,5.0,A053,9,CORRE RAPIDO,M Chadwick,R Gibson,120.0,118.0,1146.0,7,1.75,9.333333333333334,12.0,Class 5,GOOD,"TURF - ""A"" Course",750000,Happy Valley,1000,10.0,58.39,4.71,8.04,8.24,6.47,5.19,3.28,5.74,10.93
69647,2020/2021,85,1,2020-10-07,12,12.0,A092,6,ROMAN ODYSSEY,V Borges,C W Chang,128.0,128.0,1114.0,5,16.0,10.333333333333334,40.0,Class 5,GOOD,"TURF - ""A"" Course",750000,Happy Valley,1000,10.0,58.4,6.64,7.47,7.05,6.64,4.85,9.44,5.61,3.83
69648,2020/2021,86,2,2020-10-07,1,2.0,A247,3,FAITHFUL TRINITY,V Borges,W Y So,126.0,124.0,1081.0,10,1.25,1.75,5.5,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,14.0,100.09,6.64,7.47,7.05,6.64,7.31,6.6,7.78,7.78
69649,2020/2021,86,2,2020-10-07,2,1.0,A320,1,ALL YOU KNOW,A Badel,R Gibson,132.0,124.0,1077.0,6,0.0,4.75,9.3,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,21.0,100.12,10.28,9.09,8.3,9.09,5.19,3.28,5.74,10.93
69650,2020/2021,86,2,2020-10-07,3,4.0,D070,4,DAILY BEAUTY,B Shinn,C Fownes,125.0,123.0,1159.0,3,2.25,7.0,4.9,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,21.0,100.23,3.39,9.71,8.58,7.67,9.3,10.25,7.78,9.68
69651,2020/2021,86,2,2020-10-07,4,3.0,B013,5,LADY FIRST,C L Chau,A S Cruz,114.0,121.0,1026.0,8,2.0,3.0,5.3,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,28.0,100.31,7.45,11.7,12.77,6.38,10.87,9.2,10.37,7.36
69652,2020/2021,86,2,2020-10-07,5,4.0,D009,6,INCANTO PREPARED,N Callan,J Size,123.0,120.0,986.0,7,3.75,6.333333333333333,8.1,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,21.0,100.47,5.42,8.33,8.33,12.08,8.49,13.47,9.41,9.04
69653,2020/2021,86,2,2020-10-07,6,5.0,A183,11,BULB ELITE,M F Poon,C H Yip,116.0,115.0,1178.0,5,1.75,5.25,12.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,10.0,100.61,5.24,4.16,6.51,8.5,4.71,3.44,7.61,6.16
69654,2020/2021,86,2,2020-10-07,7,3.0,C496,8,ANONYMA,H W Lai,D E Ferraris,121.0,118.0,1044.0,1,3.25,2.5,17.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,91.0,100.74,1.23,2.46,3.08,4.62,4.92,6.56,8.43,6.56
69655,2020/2021,86,2,2020-10-07,8,9.0,D290,10,TIGER GLARE,M L Yeung,L Ho,119.0,114.0,1019.0,4,7.25,11.333333333333334,75.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,17.0,101.02,1.92,3.6,3.84,5.76,3.51,6.56,3.98,8.43
69656,2020/2021,86,2,2020-10-07,9,7.0,C442,9,EVEN KEEL,K C Leung,A T Millard,121.0,120.0,978.0,2,5.0,5.75,6.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,28.0,101.17,5.19,3.76,6.44,8.94,8.7,8.12,9.57,6.67
69657,2020/2021,86,2,2020-10-07,10,6.0,V279,2,THUNDER STOMP,H N Wong,Y S Tsui,128.0,132.0,1194.0,9,7.25,4.5,24.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,14.0,101.52,1.7,2.83,1.7,3.4,5.53,7.87,7.37,6.2
69658,2020/2021,86,2,2020-10-07,11,3.0,A040,7,JADE THEATRE,C Y Ho,K L Man,122.0,119.0,1096.0,11,3.75,8.333333333333334,20.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,21.0,102.59,10.75,9.63,9.31,9.95,7.56,10.73,8.05,8.05
69659,2020/2021,87,3,2020-10-07,1,5.0,B366,6,NABOO STAR,C Y Ho,C Fownes,126.0,126.0,1053.0,5,1.75,8.0,3.7,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1650,178.0,100.21,10.75,9.63,9.31,9.95,9.3,10.25,7.78,9.68
69660,2020/2021,87,3,2020-10-07,2,6.0,A127,5,SACRED IBIS,A Badel,A T Millard,128.0,122.0,1147.0,4,4.25,9.333333333333334,5.0,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1650,28.0,100.23,10.28,9.09,8.3,9.09,8.7,8.12,9.57,6.67
69661,2020/2021,87,3,2020-10-07,3,5.0,C450,7,BLASTOISE,C L Chau,D E Ferraris,115.0,126.0,1055.0,6,5.0,5.2,13.0,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1650,91.0,100.51,7.45,11.7,12.77,6.38,4.92,6.56,8.43,6.56
69662,2020/2021,87,3,2020-10-07,4,4.0,D113,9,SMILING CITY,M L Yeung,D J Whyte,118.0,119.0,1077.0,9,3.0,7.0,4.7,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1650,21.0,100.52,1.92,3.6,3.84,5.76,9.46,8.82,8.17,10.11
69663,2020/2021,87,3,2020-10-07,5,8.0,D324,4,PRINCE OF FROG,N Callan,L Ho,128.0,129.0,1191.0,1,3.0,8.0,15.0,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1650,17.0,100.71,5.42,8.33,8.33,12.08,3.51,6.56,3.98,8.43
69664,2020/2021,87,3,2020-10-07,6,10.0,B003,10,CHARITY WINGS,M F Poon,C S Shum,114.0,110.0,1134.0,2,4.75,10.25,35.0,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1650,84.0,100.76,5.24,4.16,6.51,8.5,9.49,10.34,5.49,8.23
69665,2020/2021,87,3,2020-10-07,7,5.0,V114,8,MAGNETISM,A Hamelin,D E Ferraris,118.0,120.0,1171.0,3,3.25,5.0,44.0,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1650,21.0,100.86,7.49,7.49,7.05,10.57,4.92,6.56,8.43,6.56
69666,2020/2021,87,3,2020-10-07,8,9.0,B271,1,MONICA,K H Chan,D A Hayes,126.0,123.0,1033.0,8,8.5,9.75,89.0,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1650,17.0,101.74,7.1,6.45,9.03,8.06,0.0,0.0,0.0,0.0
69667,2020/2021,87,3,2020-10-07,9,2.0,C080,3,JOLLY HONOUR,Z Purton,Y S Tsui,128.0,128.0,1043.0,7,1.25,2.75,5.9,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1650,21.0,102.12,20.82,14.31,14.16,7.93,5.53,7.87,7.37,6.2
69668,2020/2021,87,3,2020-10-07,10,2.0,C463,2,FLYING SWORD,M Chadwick,A S Cruz,128.0,125.0,1051.0,10,2.0,3.75,6.1,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1650,28.0,102.22,4.71,8.04,8.24,6.47,10.87,9.2,10.37,7.36
69669,2020/2021,88,4,2020-10-07,1,4.0,D125,2,ARES,Z Purton,F C Lor,132.0,133.0,1011.0,10,2.25,6.333333333333333,5.3,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,140.0,70.76,20.82,14.31,14.16,7.93,8.84,8.43,11.04,11.04
69670,2020/2021,88,4,2020-10-07,2,6.0,C480,4,NAMJONG SINGS,A Badel,C S Shum,128.0,129.0,1210.0,3,2.0,8.666666666666666,4.5,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,14.0,70.86,10.28,9.09,8.3,9.09,9.49,10.34,5.49,8.23
69671,2020/2021,88,4,2020-10-07,3,3.0,T372,1,HARRIER JET,A Hamelin,P O'Sullivan,133.0,133.0,1129.0,9,2.25,4.0,16.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,28.0,70.97,7.49,7.49,7.05,10.57,8.27,7.2,8.0,7.2
69672,2020/2021,88,4,2020-10-07,4,1.0,C406,3,JAZZ STEED,C Schofield,C Fownes,131.0,129.0,1253.0,2,0.0,3.6666666666666665,2.9,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,14.0,71.02,8.78,8.16,8.16,8.37,9.3,10.25,7.78,9.68
69673,2020/2021,88,4,2020-10-07,5,9.0,C039,10,AUTHENTIC CHAMP,C Y Ho,K H Ting,119.0,119.0,1170.0,8,2.5,10.666666666666666,5.3,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,28.0,71.03,10.75,9.63,9.31,9.95,8.5,4.85,6.07,8.74
69674,2020/2021,88,4,2020-10-07,6,4.0,C472,6,SUPER ALLIANCES,M Chadwick,J Size,127.0,128.0,1037.0,7,4.25,4.333333333333333,20.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,24.0,71.07,4.71,8.04,8.24,6.47,8.49,13.47,9.41,9.04
69675,2020/2021,88,4,2020-10-07,7,6.0,B263,11,DEMONS ROCK,M F Poon,D J Hall,112.0,116.0,1053.0,4,6.0,6.666666666666667,23.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,10.0,71.15,5.24,4.16,6.51,8.5,7.91,5.36,8.93,10.2
69676,2020/2021,88,4,2020-10-07,8,8.0,B027,7,SPLIT OF A SECOND,C L Chau,L Ho,114.0,118.0,1089.0,12,4.5,10.0,47.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,21.0,71.15,7.45,11.7,12.77,6.38,3.51,6.56,3.98,8.43
69677,2020/2021,88,4,2020-10-07,9,8.0,C324,5,WINNING FEELING,N Callan,D E Ferraris,128.0,130.0,1332.0,11,6.5,8.333333333333334,26.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,28.0,71.25,5.42,8.33,8.33,12.08,4.92,6.56,8.43,6.56
69678,2020/2021,88,4,2020-10-07,10,9.0,A217,8,ALL BEST FRIENDS,H W Lai,K L Man,122.0,124.0,1074.0,6,4.0,7.666666666666667,79.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,14.0,71.33,1.23,2.46,3.08,4.62,7.56,10.73,8.05,8.05
69679,2020/2021,88,4,2020-10-07,11,10.0,D279,9,STAR PRESENT,B Shinn,D A Hayes,122.0,125.0,1102.0,1,18.75,7.333333333333333,36.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,24.0,71.37,3.39,9.71,8.58,7.67,0.0,0.0,0.0,0.0
69680,2020/2021,88,4,2020-10-07,12,9.0,D229,12,RUN THE TABLE,M L Yeung,K W Lui,114.0,118.0,1033.0,5,4.75,9.666666666666666,46.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,21.0,71.41,1.92,3.6,3.84,5.76,12.94,10.27,10.68,6.57
